Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Vallès Occidental,N,CCFI,40,15,Cerdanyola del Vallès,'16,50392.5
Barcelonès,N,FPOS,13,838,"Hospitalet de Llobregat, l'",'16,1144530
Vallès Oriental,N,IPIS,41,300,Mollet del Vallès,'16,122192.42
Baix Llobregat,N,TB,11,7,Gavà,'16,66669.1
Vallès Occidental,N,CC,40,30,Rubí,'16,123156
Baix Llobregat,N,APRE,11,53,"Prat de Llobregat, el",'16,8426.03
Baix Llobregat,N,DAM,11,90,Castelldefels,'16,326610
Baix Llobregat,S,SUMA,11,1,Sant Andreu de la Barca,'16,3891.6
Vallès Oriental,N,FI45,41,1,Martorelles,'16,9951.28
Vallès Occidental,N,TRFO,40,7,Badia del Vallès,'16,82346.6
Baix Llobregat,N,AODL,11,1,Esplugues de Llobregat,'16,27045.55
Vallès Oriental,N,PIN,41,20,Mollet del Vallès,'16,44632.37
Baix Llobregat,N,TB,11,225,Cornellà de Llobregat,'16,140669.41999999998
Vallès Occidental,N,AODL,40,2,Rubí,'16,54091.1
Vallès Occidental,N,FPOS,40,843,Terrassa,'16,332720
Vallès Oriental,S,JENP,41,1,Santa Maria de Palautordera,'16,11000
Baix Llobregat,N,IPIS,11,150,Martorell,'16,61096.21
Baix Llobregat,N,TRFO,11,13,Gavà,'16,146168.4
Vallès Occidental,N,CCFI,40,15,Sabadell,'16,50392.5
Baix Llobregat,S,SUMA,11,55,"Prat de Llobregat, el",'16,235665
Baix Llobregat,S,SUMA,11,1,Abrera,'16,2527
Baix Llobregat,N,FOQ,11,178,Viladecans,'16,339454.3
Baix Llobregat,S,SUMA,11,120,Sant Feliu de Llobregat,'16,503840
Baix Llobregat,N,REEM,11,25,Martorell,'16,6241.2
Baix Llobregat,N,PIN,11,200,Castelldefels,'16,116583.8
Vallès Occidental,N,PRMI,40,9,Rubí,'16,94610
Barcelonès,S,SUMA,13,60,"Hospitalet de Llobregat, l'",'16,245850
Baix Llobregat,S,FEM,11,2,Molins de Rei,'16,5837.4
Barcelonès,N,30P,13,60,Santa Coloma de Gramenet,'16,264000
Baix Llobregat,S,JENP,11,10,Castelldefels,'16,110000
Vallès Occidental,N,FI45,40,4,Terrassa,'16,18226.609999999997
Barcelonès,S,PSGJ,13,1224,Barcelona,'16,5669880.24
Barcelonès,S,PSGJ,13,36,"Hospitalet de Llobregat, l'",'16,115708.6
Baix Llobregat,N,PRMI,11,8,Gavà,'16,84900
Baix Llobregat,N,PRMI,11,9,Castelldefels,'16,94340
Vallès Occidental,N,30P,40,66,Sabadell,'16,290400
Vallès Oriental,N,FOQ,41,45,Canovelles,'16,152658
Vallès Occidental,S,DPGJ,40,64,Sabadell,'16,8071.5
Baix Llobregat,N,AODL,11,1,Sant Just Desvern,'16,27045.55
Barcelonès,N,APRE,13,53,Santa Coloma de Gramenet,'16,8426.03
Vallès Oriental,N,TB,41,5,Canovelles,'16,71447.22
Vallès Oriental,N,AODL,41,1,"Franqueses del Vallès, les",'16,25129.1
Vallès Oriental,N,ARIF,41,125,Mollet del Vallès,'16,64850
Baix Llobregat,N,COOR,11,1,Viladecans,'16,28000
Baix Llobregat,N,TB,11,118,Sant Joan Despí,'16,284700.25
Barcelonès,N,APRE,13,113,"Hospitalet de Llobregat, l'",'16,21065.08
Vallès Occidental,N,COOR,40,1,Montcada i Reixac,'16,28000
Vallès Occidental,S,SUMA,40,2,Barberà del Vallès,'16,6810.3
Barcelonès,N,ARIF,13,125,Santa Coloma de Gramenet,'16,64850
Baix Llobregat,S,JENP,11,6,Sant Just Desvern,'16,66000
Vallès Occidental,N,PRMI,40,40,Terrassa,'16,428029.8
Vallès Occidental,N,TRFO,40,10,Castellar del Vallès,'16,109012
Barcelonès,N,AODL,13,10,"Hospitalet de Llobregat, l'",'16,270455.5
Vallès Occidental,N,IPIS,40,150,Montcada i Reixac,'16,61096.21
Vallès Oriental,N,SAC,41,130,Sant Celoni,'16,64740
Vallès Oriental,S,JENP,41,1,Montmeló,'16,11000
Vallès Occidental,S,SUMA,40,2,Sabadell,'16,6422.76
Vallès Oriental,S,SUMA,41,85,Mollet del Vallès,'16,393550
Baix Llobregat,S,JENP,11,2,Pallejà,'16,22000
Vallès Oriental,N,TB,41,360,Montornès del Vallès,'16,317868.79000000004
Vallès Oriental,N,COOR,41,3,Granollers,'16,72333.33
