municipio;perc_abst;1rpartit;2npartit;Nom comarca;PSC.perc;Poblacio
Sant Quirze de Besora;36.37;JxCat;ERC;Osona;9.990205680705191;2154
Sant Quirze del Vallès;36.01;JxCat;ERC;Vallès Occidental;18.447729672650475;20195
Sant Quirze Safaja;36.55;JxCat;ERC;Moianès;13.712374581939798;631
Sant Sadurní d'Anoia;41.8;ERC;JxCat;Alt Penedès;18.408965643946352;12841
Sant Sadurní d'Osormort;22.73;JxCat;ERC;Osona;11.76470588235294;76
Marganell;40.27;JxCat;ERC;Bages;7.4074074074074066;266
Santa Cecília de Voltregà;28.29;JxCat;ERC;Osona;2.8301886792452833;182
Santa Coloma de Cervelló;38.96;ERC;PSC;Baix Llobregat;25.716581837664076;8268
Santa Coloma de Gramenet;55.58;PSC;ERC;Barcelonès;41.667906782939966;120443
Santa Eugènia de Berga;35.44;JxCat;ERC;Osona;6.284658040665435;2278
Santa Eulàlia de Riuprimer;28.92;JxCat;ERC;Osona;5.579399141630901;1383
Santa Eulàlia de Ronçana;47.37;ERC;JxCat;Vallès Oriental;17.04733531943065;7426
Santa Fe del Penedès;18.44;JxCat;ERC;Alt Penedès;9.777777777777779;367
Santa Margarida de Montbui;56.34;PSC;ERC;Anoia;34.349659422640286;10225
Santa Margarida i els Monjos;48.89;PSC;ERC;Alt Penedès;28.013777267508612;7676
Barberà del Vallès;48.94;PSC;ERC;Vallès Occidental;34.288000000000004;33334
Santa Maria de Besora;30.3;JxCat;ERC;Osona;6.666666666666667;161
L'Esquirol;26.9;JxCat;ERC;Osona;2.975724353954581;2186
Santa Maria de Merlès;28.23;JxCat;ERC;Berguedà;1.1235955056179776;184
Santa Maria de Martorelles;38.58;ERC;JxCat;Vallès Oriental;12.619047619047619;890
Santa Maria de Miralles;28.3;JxCat;ERC;Anoia;9.333333333333334;119
Santa Maria d'Oló;29.92;ERC;JxCat;Moianès;3.9655172413793105;1024
Santa Maria de Palautordera;38.51;JxCat;ERC;Vallès Oriental;15.478944932901435;9630
Santa Perpètua de Mogoda;49.42;PSC;ERC;Vallès Occidental;31.31921298785077;25999
Santa Susanna;43.28;ERC;JxCat;Maresme;17.89090909090909;3548
Sant Vicenç de Castellet;52.31;ERC;JxCat;Bages;20.22058823529412;9767
Sant Vicenç dels Horts;51.08;PSC;ERC;Baix Llobregat;29.63506506212699;28268
Sant Vicenç de Montalt;39.85;JxCat;ERC;Maresme;14.342058085335246;6452
Sant Vicenç de Torelló;30.17;JxCat;ERC;Osona;7.168458781362006;2058
Cerdanyola del Vallès;44.73;PSC;ERC;Vallès Occidental;29.877354912125426;57855
Sentmenat;47.67;ERC;PSC;Vallès Occidental;22.678671918964547;9235
Cercs;40.45;ERC;JxCat;Berguedà;13.309982486865149;1150
Seva;37.12;JxCat;ERC;Osona;6.6550925925925934;3544
Sitges;44.03;PSC;ERC;Garraf;23.063198422387078;29553
Sobremunt;44.62;CUP-G;JxCat;Osona;0;78
Sora;28.4;JxCat;ERC;Osona;1.7391304347826086;212
Subirats;31.94;JxCat;ERC;Alt Penedès;9.21942224953903;3104
Súria;43.43;PSC;ERC;Bages;28.17011314865392;5948
Tavèrnoles;28.11;JxCat;ERC;Osona;5.617977528089887;322
Tagamanent;39;JxCat;ERC;Vallès Oriental;8.16326530612245;318
Talamanca;29.89;JxCat;ERC;Bages;7.43801652892562;209
Taradell;35.41;JxCat;ERC;Osona;5.5329790559549865;6640
Terrassa;49.41;PSC;ERC;Vallès Occidental;25.893644617380023;223627
Tavertet;26.09;JxCat;ERC;Osona;2.941176470588235;105
Teià;34.19;JxCat;ERC;Maresme;14.183736809435132;6427
Tiana;32.25;JxCat;ERC;Maresme;16.909367528798086;8945
Tona;44.93;JxCat;ERC;Osona;10.593095308350547;8356
Tordera;57.52;ERC;JxCat;Maresme;19.74939218253226;17519
Torelló;45.65;JxCat;ERC;Osona;11.49508912331757;14400
La Torre de Claramunt;51.23;PSC;ERC;Anoia;25.696378830083567;3741
Torrelavit;32.09;JxCat;ERC;Alt Penedès;7.563025210084033;1422
Torrelles de Foix;56.24;ERC;PSC;Alt Penedès;18.326693227091635;2398
Torrelles de Llobregat;41.05;ERC;JxCat;Baix Llobregat;17.080511662904442;6073
Ullastrell;36.76;ERC;JxCat;Vallès Occidental;11.213047910295616;2089
Vacarisses;51.43;ERC;PSC;Vallès Occidental;18.72019077901431;6832
Vallbona d'Anoia;38.98;JxCat;ERC;Anoia;18.553459119496853;1357
Vallcebre;30.38;JxCat;ERC;Berguedà;9.25925925925926;249
Vallgorguina;42.66;JxCat;ERC;Vallès Oriental;9.870550161812297;2988
Vallirana;50.23;PSC;ERC;Baix Llobregat;26.76803394625177;15312
Vallromanes;33.58;JxCat;ERC;Vallès Oriental;17.033414832925835;2558
Veciana;33.33;JxCat;ERC;Anoia;3.4090909090909087;175
Vic;42.47;JxCat;ERC;Osona;10.655790768433999;47630
Vilada;34.67;JxCat;ERC;Berguedà;8.641975308641975;419
Viladecavalls;40.58;ERC;PSC;Vallès Occidental;18.062303515290083;7545
Viladecans;50.7;PSC;ERC;Baix Llobregat;38.77055697367871;67197
Vilanova del Camí;54.28;PSC;ERC;Anoia;37.38406658739596;12596
Vilanova de Sau;27.38;JxCat;ERC;Osona;6.878306878306878;312
Vilobí del Penedès;35.75;JxCat;ERC;Alt Penedès;9.514925373134329;1102
Vilafranca del Penedès;43.86;JxCat;ERC;Alt Penedès;18.13556004957923;40154
Vilalba Sasserra;46.32;ERC;JxCat;Vallès Oriental;17.253521126760564;753
Vilanova i la Geltrú;46.89;PSC;ERC;Garraf;24.761134227153644;67733
Viver i Serrateix;25.18;JxCat;ERC;Berguedà;4.854368932038835;172
Rupit i Pruit;22.86;JxCat;ERC;Osona;6.0109289617486334;271
Vilanova del Vallès;43.66;JxCat;ERC;Vallès Oriental;18.051831992850758;5503
Sant Julià de Cerdanyola;15.53;JxCat;ERC;Berguedà;3.4482758620689653;229
Badia del Vallès;59.09;PSC;VOX;Vallès Occidental;40.64731080437887;13415
La Palma de Cervelló;35.38;ERC;JxCat;Baix Llobregat;18.964357767316745;2992
Agullana;34.06;ERC;JxCat;Alt Empordà;8.443271767810026;863
Aiguaviva;25.67;JxCat;ERC;Gironès;7.2727272727272725;765
Albanyà;31.25;JxCat;ERC;Alt Empordà;0;155
Albons;32.62;JxCat;ERC;Baix Empordà;9.433962264150944;759
