codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres
8038,Callús,15081,callús,Callús,1535,927,60.39,608,39.61,ERC,JxCat,PSC,CUP-G,7,Bages,915,101,287,275,40,76,38,14,11,44,11.03825136612022,31.366120218579237,30.05464480874317,4.371584699453552,8.306010928961749,4.1530054644808745,1.530054644808743,1.2021857923497268,4.808743169398907,80386,2129,1053,1076
8039,Campins,18681,campins,Campins,413,290,70.22,123,29.78,JxCat,ERC,CUP-G,PSC,41,Vallès Oriental,285,32,66,96,6,41,24,3,2,6,11.228070175438596,23.157894736842106,33.68421052631579,2.1052631578947367,14.385964912280702,8.421052631578947,1.0526315789473684,0.7017543859649122,2.1052631578947367,80399,541,283,258
8040,Canet de Mar,14846,canet de mar,Canet de Mar,11167,5901,52.84,5266,47.16,JxCat,ERC,PSC,CUP-G,21,Maresme,5826,975,1471,1541,389,476,338,209,163,128,16.735324407826983,25.248884311706142,26.45039478201167,6.676965327840715,8.170271198077582,5.801579128046687,3.587366975626502,2.79780295228287,2.1970477171301064,80403,14865,7294,7571
8041,Canovelles,12017,canovelles,Canovelles,10725,4837,45.1,5888,54.9,PSC,ERC,VOX,JxCat,41,Vallès Oriental,4767,1752,698,518,633,121,313,385,189,64,36.752674638137194,14.642332704006714,10.866372980910425,13.278791692888609,2.538284036081393,6.5659744073840995,8.076358296622614,3.9647577092511015,1.342563457100902,80410,16829,8693,8136
8042,Cànoves i Samalús,15589,cànoves i samalús,Cànoves i Samalús,2465,1293,52.45,1172,47.55,ERC,PSC,JxCat,VOX,41,Vallès Oriental,1283,272,314,233,113,84,89,61,57,28,21.200311769290725,24.473889321901794,18.160561184723303,8.807482462977397,6.547155105222135,6.936866718628215,4.75448168355417,4.442712392829307,2.1823850350740455,80425,3156,1611,1545
8043,Canyelles,14953,canyelles,Canyelles,3553,1706,48.02,1847,51.98,PSC,ERC,JxCat,VOX,17,Garraf,1686,404,363,266,165,76,108,139,43,75,23.962040332147094,21.530249110320284,15.776986951364174,9.786476868327403,4.507710557532621,6.405693950177936,8.244365361803084,2.550415183867141,4.448398576512456,80431,4699,2430,2269
8044,Capellades,15271,capellades,Capellades,4117,2116,51.4,2001,48.6,ERC,JxCat,PSC,CUP-G,6,Anoia,2081,400,516,410,99,287,100,91,53,81,19.22152811148486,24.79577126381547,19.702066314271985,4.757328207592504,13.791446419990388,4.805382027871215,4.372897645362806,2.5468524747717445,3.8923594425756844,80446,5342,2665,2677
8045,Capolat,.,capolat,Capolat,63,41,65.08,22,34.92,JxCat,CUP-G,ERC,ECP-PEC,14,Berguedà,41,0,7,22,0,9,1,0,0,1,0,17.073170731707318,53.65853658536586,0,21.951219512195124,2.4390243902439024,0,0,2.4390243902439024,80459,84,39,45
8046,Cardedeu,16850,cardedeu,Cardedeu,13749,8052,58.56,5697,41.44,JxCat,ERC,PSC,CUP-G,41,Vallès Oriental,7928,1317,1915,2001,356,911,593,310,155,209,16.612008072653886,24.15489404641776,25.23965691220989,4.490413723511604,11.490918264379415,7.4798183652875885,3.910191725529768,1.955095862764884,2.636226034308779,80462,18424,8975,9449
8047,Cardona,15838,cardona,Cardona,3668,1912,52.13,1756,47.87,ERC,PSC,JxCat,CUP-G,7,Bages,1872,399,553,397,86,148,57,62,61,73,21.314102564102562,29.54059829059829,21.207264957264957,4.594017094017095,7.905982905982905,3.0448717948717947,3.311965811965812,3.258547008547009,3.8995726495726495,80478,4639,2266,2373
